federation,count
RUS,46679
IND,34244
GER,27252
ESP,26709
FRA,25947
IRI,16027
POL,14594
ITA,12172
TUR,9072
UKR,8907
CZE,8564
BRA,7662
USA,7018
GRE,6785
SRB,6406
HUN,6045
ARG,5502
ROU,5295
ENG,4986
NED,4573
NOR,4306
SWE,4271
AUT,4137
SVK,4087
DEN,4040
COL,3863
CRO,3820
EGY,3725
SRI,3653
KAZ,3570
BEL,3438
VEN,3431
PER,3263
ISR,2983
SUI,2783
MAS,2776
POR,2700
AUS,2552
CHI,2490
MEX,2455
CUB,2348
SLO,2228
LTU,2210
BAN,2179
BUL,2174
AZE,1970
CAN,1874
PHI,1771
BIH,1760
CHN,1752
LAT,1684
BLR,1562
GEO,1496
ALG,1434
ECU,1410
BOL,1320
RSA,1286
ARM,1220
FIN,1155
UZB,1118
INA,1066
NEP,1006
CRC,945
IRQ,938
DOM,896
EST,851
IRL,832
SGP,828
MYA,811
ISL,805
VIE,769
ZAM,738
KGZ,727
MGL,724
MDA,707
KOR,681
TUN,663
URU,659
JOR,637
NZL,633
KEN,628
MKD,626
SCO,584
MNE,581
LBA,578
UAE,557
BOT,554
PAR,521
KOS,494
MAR,490
THA,467
NCA,466
ANG,457
NGR,422
LBN,408
FID,404
PAN,404
SYR,403
PUR,392
WLS,390
HKG,360
PLE,354
ESA,351
KSA,340
SUD,339
LUX,327
MAD,327
UGA,322
ZIM,315
TKM,286
GUA,278
CYP,277
JAM,272
HON,263
JPN,262
ALB,261
OMA,248
TTO,238
FAI,216
MAW,216
MLT,182
PAK,178
SUR,168
TPE,166
PLW,155
BAR,149
TJK,141
ETH,131
KUW,131
LES,123
YEM,121
BRN,120
BRU,97
NAM,95
AFG,94
GHA,93
BER,87
MTN,85
MNC,78
AND,77
MOZ,68
QAT,61
SWZ,61
FIJ,55
CIV,55
CPV,52
TAN,50
GUY,50
ARU,48
AHO,48
MDV,46
TLS,45
RWA,45
HAI,42
MAC,41
BAH,40
JCI,38
GUM,37
TOG,36
LBR,32
MRI,29
GCI,25
LAO,23
SSD,23
CMR,22
STP,22
SOL,21
SEY,20
SOM,19
SMR,19
MLI,17
SEN,16
LIE,16
BUR,15
GAM,15
NRU,14
BDI,13
ISV,13
DJI,11
LCA,11
PNG,10
SLE,9
ERI,8
ANT,8
COD,8
BHU,7
CAF,6
GAB,4
IVB,4
GY,3
CAM,2
CAY,1
Ind,1
