federation,rating_standard
AFG,1679.4118738404452
AHO,1761.360544217687
ALB,1789.51184346035
ALG,1626.476098967091
AND,1787.1045510455106
ANG,1667.591546474359
ANT,1250.6666666666667
ARG,1743.7005960126592
ARM,1715.8753535214182
ARU,1648.1684027777778
AUS,1660.7330821513003
AUT,1848.3495495894292
AZE,1532.407599008825
BAH,1554.2301075268817
BAN,1693.369606107546
BAR,1587.2447916666667
BDI,1726.8680555555557
BEL,1682.413773118984
BER,1628.4462719298247
BHU,1438.0
BIH,1913.4158556007785
BLR,1736.1562612515302
BOL,1484.827564148127
BOT,1567.159767141009
BRA,1736.9874227308892
BRN,1716.9653179190752
BRU,1891.1123711340206
BUL,1738.919405633178
BUR,1475.4666666666667
CAF,1556.5
CAM,2250.0
CAN,1819.6668464581087
CAY,1629.5
CHI,1690.2076235940833
CHN,1779.994562078922
CIV,1648.4017094017095
CMR,1756.8125
COD,1678.857142857143
COL,1744.971143434107
CPV,1516.5227272727273
CRC,1559.0443382598066
CRO,1799.4206393153788
CUB,1957.7370849406248
CYP,1536.4387559808613
CZE,1759.950788978229
DEN,1733.5242514129955
DJI,1637.6363636363637
DOM,1812.5317549371634
ECU,1623.782855361596
EGY,1721.0114483587151
ENG,1813.29491021337
ERI,1820.5
ESA,1635.2012345679013
ESP,1649.7415761972734
EST,1743.4253112033196
ETH,1760.3587479935795
FAI,1734.0447488584475
FID,1630.002748196496
FIJ,1627.4418604651162
FIN,1886.4391602076905
FRA,1584.2017162598909
GAB,1893.8333333333333
GAM,1861.6363636363637
GCI,1772.6
GEO,1618.262109375
GER,1859.7453579836501
GHA,1539.7001915708813
GRE,1518.0863153641926
GUA,1683.1345574954846
GUM,1671.2690476190476
GUY,1476.126712328767
GY,1616.888888888889
HAI,1692.0024691358024
HKG,1513.8348856900932
HON,1660.147615937296
HUN,1762.3569839307788
INA,1891.8855043898943
IND,1359.1196597391704
IRI,1468.1717721263574
IRL,1776.7568350324375
IRQ,1684.832492431887
ISL,1759.2067885117494
ISR,1756.5306626467382
ISV,1653.0
ITA,1664.1448251984734
IVB,1749.25
Ind,1727.0
JAM,1601.0690208667736
JCI,1763.5807291666667
JOR,1555.7978753947746
JPN,1808.9946949602122
KAZ,1533.7704267707468
KEN,1482.1297758130722
KGZ,1508.3739795032134
KOR,1433.1028514506288
KOS,1918.1332626369742
KSA,1646.295574288725
KUW,1409.592618384401
LAO,1265.3125
LAT,1715.7023128005496
LBA,1716.3125282677522
LBN,1665.3510992671552
LBR,1768.1054852320676
LCA,1735.9
LES,1374.4818617385351
LIE,1861.627027027027
LTU,1679.1645424711899
LUX,1769.7969036998163
MAC,1702.9471544715448
MAD,1571.919642857143
MAR,1813.7568730576143
MAS,1478.4577268238224
MAW,1630.7015396762731
MDA,1640.5413400758534
MDV,1480.0669291338584
MEX,1784.668520799396
MGL,1698.718062982769
MKD,1841.9426247056306
MLI,1841.4285714285713
MLT,1598.1208963001563
MNC,1848.9345238095239
MNE,1897.4742879746836
MOZ,1589.7924528301887
MRI,1721.3275862068965
MTN,1658.7641083521444
MYA,1884.9517593064763
NAM,1474.677192982456
NCA,1682.375207296849
NED,1890.128100182115
NEP,1559.813310518732
NGR,1902.6626708223448
NOR,1611.592201184011
NRU,1684.75
NZL,1732.3290951122854
OMA,1439.445889698231
PAK,1796.4132473622508
PAN,1639.5133660665576
PAR,1604.118517229377
PER,1521.4816812766915
PHI,1790.4290480863592
PLE,1644.8861209964414
PLW,1395.2241379310344
PNG,1828.85
POL,1626.972881540896
POR,1584.3543623083715
PUR,1702.0090976149495
QAT,1733.050847457627
ROU,1615.3465141249212
RSA,1569.5595930232557
RUS,1707.5156122598069
RWA,1600.0857142857142
SCO,1858.7526072832964
SEN,1693.724358974359
SEY,1699.1296296296296
SGP,1555.1846465157455
SLE,1657.0246913580247
SLO,1773.0764203117144
SMR,1807.5757575757575
SOL,1720.9285714285713
SOM,1779.8333333333333
SRB,1909.0022911159176
SRI,1297.4687630307342
SSD,1942.2436974789916
STP,1731.972972972973
SUD,1734.273372415921
SUI,1807.500169842201
SUR,1472.5891719745223
SVK,1707.5429214982898
SWE,1746.1979001291252
SWZ,1346.215976331361
SYR,1831.2298601061264
TAN,1479.3424657534247
THA,1544.2610062893082
TJK,1701.5339563862929
TKM,1884.6270539906104
TLS,1501.7321937321938
TOG,1554.810631229236
TPE,1498.6967895362664
TTO,1582.138829407566
TUN,1651.5535601764336
TUR,1429.7820592500518
UAE,1567.8100371747212
UGA,1684.7626786214626
UKR,1869.479219630817
URU,1704.2674927113703
USA,1893.1128784184266
UZB,1674.4433776464796
VEN,1606.057703003337
VIE,1729.225940017905
WLS,1812.948538011696
YEM,1876.3492424242424
ZAM,1750.3393995595225
ZIM,1655.6159343568027
